card_uid,id,name,faction,rarity,cost,type,attack,life,keywords,rules_text,archetype_tag,prototype_priority,set_code,set_number,is_legendary,is_token,max_copies_per_deck,status,version,designer_notes
1024,CT24,Duchess Vhalora,Crimson Thrones,Renowned,5,Champion,5.0,6.0,,"Once each turn, when an ally dies, gain 1 life and draw a card.",A1,P3,TCGTAKE1-CORE,24,True,False,1,prototype,0.1,
1025,LC01,Dawn Procession,Lantern Covenant,Common,1,Champion,1.0,2.0,,"When this enters play, reveal a card in your hand.",A2,P1,TCGTAKE1-CORE,25,False,False,4,prototype,0.1,
1026,LC02,Pale Torchbearer,Lantern Covenant,Common,1,Champion,1.0,1.0,,"When this attacks, target enemy unit gets -1 life this turn.",A2,P1,TCGTAKE1-CORE,26,False,False,4,prototype,0.1,
1027,LC03,Wicker Psalm,Lantern Covenant,Common,2,Decree,,,,"Reveal a hidden card. If it is a Omen, draw a card.",GL,P1,TCGTAKE1-CORE,27,False,False,4,prototype,0.1,
1028,LC04,Silver Reliquary,Lantern Covenant,Common,2,Relic,,,,"Once each turn, when you reveal a card, gain 1 life.",GL,P2,TCGTAKE1-CORE,28,False,False,4,prototype,0.1,
1029,LC05,Lantern Acolyte,Lantern Covenant,Common,2,Champion,2.0,2.0,,"When you purge a curse or omen, this gets +1/+1 this turn.",A1,P1,TCGTAKE1-CORE,29,False,False,4,prototype,0.1,
1030,LC06,Sanctify,Lantern Covenant,Common,3,Decree,,,,"Purge a curse. If you do, create a 1/1 Witness.",A1,P1,TCGTAKE1-CORE,30,False,False,4,prototype,0.1,
1031,LC07,Ash-Watch Hunter,Lantern Covenant,Common,3,Champion,3.0,2.0,,"When you reveal a card, this gets +1 attack this turn.",A2,P1,TCGTAKE1-CORE,31,False,False,4,prototype,0.1,
1032,LC08,Veil of Saffron,Lantern Covenant,Common,3,Omen,,,,Omen — Prevent the next 2 damage that would be dealt to an ally.,GL,P2,TCGTAKE1-CORE,32,False,False,4,prototype,0.1,
1033,LC09,Candleguard,Lantern Covenant,Common,4,Champion,3.0,4.0,Guard,"Guard. When this enters play, reveal the top card of your deck.",GL,P2,TCGTAKE1-CORE,33,False,False,4,prototype,0.1,
1034,LC10,Processional Gate,Lantern Covenant,Common,5,Domain,,,,Your first purge each turn costs 1 less.,A1,P3,TCGTAKE1-CORE,34,False,False,4,prototype,0.1,
1035,LC11,Watcher’s Litany,Lantern Covenant,Uncommon,1,Decree,,,,Reveal a card. Draw a card if it costs 2 or less.,A2,P1,TCGTAKE1-CORE,35,False,False,3,prototype,0.1,
1036,LC12,Bramble-Eyed Sentinel,Lantern Covenant,Uncommon,2,Champion,2.0,3.0,Guard,"Guard. When an enemy hidden card is revealed, this gets +1 attack this turn.",A2,P2,TCGTAKE1-CORE,36,False,False,3,prototype,0.1,
1037,LC13,Halo Step,Lantern Covenant,Uncommon,3,Relic,,,,"Once each turn, when you reveal a card, your next Decree costs 1 less.",GL,P2,TCGTAKE1-CORE,37,False,False,3,prototype,0.1,
1038,LC14,Rite of Unmasking,Lantern Covenant,Uncommon,4,Decree,,,,Reveal all hidden cards. Deal 2 damage to a hidden enemy unit.,A1,P1,TCGTAKE1-CORE,38,False,False,3,prototype,0.1,
1039,LC15,Hound of the First Light,Lantern Covenant,Uncommon,4,Champion,4.0,3.0,,"When this attacks a revealed unit, draw a card.",A2,P2,TCGTAKE1-CORE,39,False,False,3,prototype,0.1,
1040,LC16,Abbey Bell Omen,Lantern Covenant,Uncommon,6,Omen,,,,"Omen — When an enemy unit attacks, purge it at end of combat.",A1,P3,TCGTAKE1-CORE,40,False,False,3,prototype,0.1,
1041,LC17,"Helsing, Dawn Marshal",Lantern Covenant,Rare,1,Champion,2.0,2.0,Guard,"Guard. When this enters play, reveal a card in your hand and gain 1 life.",A2,P1,TCGTAKE1-CORE,41,False,False,2,prototype,0.1,
1042,LC18,Sanctum Sentence,Lantern Covenant,Rare,2,Decree,,,,"Purge an enemy unit. If it was hidden, draw 2 cards.",GL,P1,TCGTAKE1-CORE,42,False,False,2,prototype,0.1,
1043,LC19,Vault of Stained Gold,Lantern Covenant,Rare,3,Champion,3.0,4.0,,"When you reveal a card, heal your leader 1 life.",GL,P2,TCGTAKE1-CORE,43,False,False,2,prototype,0.1,
1044,LC20,Exorcist’s Verdict,Lantern Covenant,Rare,4,Decree,,,,Purge a curse or omen. Deal 3 damage to a unit.,A1,P1,TCGTAKE1-CORE,44,False,False,2,prototype,0.1,
1045,LC21,Houndmaster of the Lantern,Lantern Covenant,Rare,4,Champion,4.0,4.0,,"When a revealed enemy unit dies, create a 1/1 Hunter.",A2,P2,TCGTAKE1-CORE,45,False,False,2,prototype,0.1,
1046,LC22,Cathedral of Revealed Truth,Lantern Covenant,Rare,7,Domain,,,,"Once each turn, when you reveal a card, draw a card.",GL,P3,TCGTAKE1-CORE,46,False,False,2,prototype,0.1,
1047,LC23,Abraham Van Helsing,Lantern Covenant,Renowned,2,Champion,3.0,3.0,Guard,"Guard. When this attacks a hidden unit, destroy it.",A1,P1,TCGTAKE1-CORE,47,True,False,1,prototype,0.1,
1048,LC24,High Curator Seraphine,Lantern Covenant,Renowned,4,Champion,4.0,5.0,,"Once each turn, when you reveal a card, purge 1 damage from an ally.",GL,P2,TCGTAKE1-CORE,48,True,False,1,prototype,0.1,
1049,SD01,Sunblade Recruit,Sunforged Dominion,Common,1,Champion,2.0,1.0,,"When this attacks with another ally, it gets +1 attack this turn.",A1,P1,TCGTAKE1-CORE,49,False,False,4,prototype,0.1,
1050,SD02,Banner-Runner,Sunforged Dominion,Common,1,Champion,1.0,2.0,,"When this enters play, the next Champion you play this turn gets +1 life.",GL,P1,TCGTAKE1-CORE,50,False,False,4,prototype,0.1,
1051,SD03,Frontline Drums,Sunforged Dominion,Common,1,Decree,,,,"An ally gets +1 attack this turn. If it attacked, draw a card.",A1,P1,TCGTAKE1-CORE,51,False,False,4,prototype,0.1,
1052,SD04,Shielded Legionary,Sunforged Dominion,Common,2,Champion,2.0,3.0,Guard,"Guard. When this attacks, another ally gets +1 attack this turn.",GL,P1,TCGTAKE1-CORE,52,False,False,4,prototype,0.1,
1053,SD05,Marching Standard,Sunforged Dominion,Common,2,Relic,,,,"Once each turn, when you play a Champion, it gains Guard until your next turn.",GL,P2,TCGTAKE1-CORE,53,False,False,4,prototype,0.1,
1054,SD06,Golden Pike,Sunforged Dominion,Common,2,Champion,3.0,1.0,,"When this attacks alone, it gets +2 attack this turn.",A1,P1,TCGTAKE1-CORE,54,False,False,4,prototype,0.1,
1055,SD07,Formation Drill,Sunforged Dominion,Common,3,Decree,,,,Ready a Champion. It gets +1/+1 this turn.,A2,P1,TCGTAKE1-CORE,55,False,False,4,prototype,0.1,
1056,SD08,Sunforged Veteran,Sunforged Dominion,Common,3,Champion,3.0,3.0,,"When this attacks, if you control another Champion, draw a card.",GL,P1,TCGTAKE1-CORE,56,False,False,4,prototype,0.1,
1057,SD09,Battle Chorus,Sunforged Dominion,Common,4,Decree,,,,"Your Champions get +1 attack this turn. If three or more attacked, gain 2 life.",A1,P2,TCGTAKE1-CORE,57,False,False,4,prototype,0.1,
1058,SD10,Imperial Causeway,Sunforged Dominion,Common,5,Domain,,,,"Once each turn, the first Champion you play gets +1/+0.",A2,P3,TCGTAKE1-CORE,58,False,False,4,prototype,0.1,
1059,SD11,Vanguard Spearline,Sunforged Dominion,Uncommon,1,Champion,2.0,2.0,,"When you attack with two or more allies, this gets Guard until end of turn.",A1,P1,TCGTAKE1-CORE,59,False,False,3,prototype,0.1,
1060,SD12,War Drum of the Ninth,Sunforged Dominion,Uncommon,2,Relic,,,,"Once each turn, when a Champion attacks, it gets +1 attack.",GL,P2,TCGTAKE1-CORE,60,False,False,3,prototype,0.1,
1061,SD13,Sunforged Captain,Sunforged Dominion,Uncommon,3,Champion,3.0,4.0,,Other allied Champions get +1 attack when they attack.,A2,P1,TCGTAKE1-CORE,61,False,False,3,prototype,0.1,
1062,SD14,Press the Advance,Sunforged Dominion,Uncommon,4,Decree,,,,Ready up to two Champions. They each get +1 attack this turn.,GL,P1,TCGTAKE1-CORE,62,False,False,3,prototype,0.1,
1063,SD15,Field of Spears,Sunforged Dominion,Uncommon,4,Domain,,,,"Once each turn, when a Champion attacks, deal 1 damage to the enemy leader.",A2,P2,TCGTAKE1-CORE,63,False,False,3,prototype,0.1,
1064,SD16,Solar Omen,Sunforged Dominion,Uncommon,6,Omen,,,,"Omen — When three or more allies attack, create a 3/3 Sunguard.",GL,P3,TCGTAKE1-CORE,64,False,False,3,prototype,0.1,
1065,SD17,Alexander the Great,Sunforged Dominion,Rare,1,Champion,3.0,2.0,,"When this attacks, another Champion you control gains +1/+1 this turn.",A1,P1,TCGTAKE1-CORE,65,False,False,2,prototype,0.1,
1066,SD18,Siege Anthem,Sunforged Dominion,Rare,2,Decree,,,,Your Champions get +1/+0 and Guard this turn.,GL,P1,TCGTAKE1-CORE,66,False,False,2,prototype,0.1,
1067,SD19,Phalanx Outrider,Sunforged Dominion,Rare,3,Champion,4.0,3.0,,"When this attacks with another Champion, draw a card.",A2,P2,TCGTAKE1-CORE,67,False,False,2,prototype,0.1,
1068,SD20,Crest of the Unbroken Line,Sunforged Dominion,Rare,4,Relic,,,,"Once each turn, when a Champion attacks, gain 1 life.",GL,P2,TCGTAKE1-CORE,68,False,False,2,prototype,0.1,
1069,SD21,Imperial Breakthrough,Sunforged Dominion,Rare,4,Decree,,,,"Your attacking Champions gain +1 attack. If one dies, create a 1/1 Recruit.",A1,P2,TCGTAKE1-CORE,69,False,False,2,prototype,0.1,
1070,SD22,Sunforged Warcamp,Sunforged Dominion,Rare,7,Domain,,,,"Once each turn, when you attack with three or more allies, create a 2/2 Recruit.",A2,P3,TCGTAKE1-CORE,70,False,False,2,prototype,0.1,
1071,SD23,King Mansa Musa,Sunforged Dominion,Renowned,2,Champion,2.0,4.0,,"When you gain life, create a 1/1 Recruit.",GL,P2,TCGTAKE1-CORE,71,True,False,1,prototype,0.1,
1072,SD24,General Lysander,Sunforged Dominion,Renowned,4,Champion,5.0,5.0,Guard,"Guard. When this attacks, ready another Champion.",A2,P2,TCGTAKE1-CORE,72,True,False,1,prototype,0.1,
1073,GA01,Ledger of Delays,Gilded Axiom,Common,1,Decree,,,,Target unit gets -1 attack this turn. Draw a card if it was already damaged.,A1,P1,TCGTAKE1-CORE,73,False,False,4,prototype,0.1,
1074,GA02,Clockwork Pupil,Gilded Axiom,Common,1,Champion,1.0,2.0,,"When this enters play, look at the top card of your deck.",A2,P1,TCGTAKE1-CORE,74,False,False,4,prototype,0.1,
1075,GA03,Archivist’s Mule,Gilded Axiom,Common,2,Champion,2.0,2.0,,"When you play a Decree, this gets +1 life this turn.",GL,P1,TCGTAKE1-CORE,75,False,False,4,prototype,0.1,
1076,GA04,Refine the Sequence,Gilded Axiom,Common,2,Decree,,,,"Draw a card, then discard a card. If you discarded a card costing 4 or more, gain 1 life.",GL,P1,TCGTAKE1-CORE,76,False,False,4,prototype,0.1,
1077,GA05,Numerator Adept,Gilded Axiom,Common,3,Champion,2.0,4.0,,"When you play your second card each turn, this gets +1/+1.",A2,P2,TCGTAKE1-CORE,77,False,False,4,prototype,0.1,
1078,GA06,Stall the Moment,Gilded Axiom,Common,3,Decree,,,,Return a unit with cost 2 or less to its owner’s hand.,A1,P1,TCGTAKE1-CORE,78,False,False,4,prototype,0.1,
1079,GA07,Prism Ledger,Gilded Axiom,Common,3,Relic,,,,"Once each turn, after you draw your second card, scry 1.",GL,P2,TCGTAKE1-CORE,79,False,False,4,prototype,0.1,
1080,GA08,Calculating Savant,Gilded Axiom,Common,4,Champion,3.0,4.0,,"When this enters play, you may discard a card. If you do, draw 2 cards.",GL,P1,TCGTAKE1-CORE,80,False,False,4,prototype,0.1,
1081,GA09,Tax the Future,Gilded Axiom,Common,4,Decree,,,,The next card your opponent plays this turn costs 1 more. Draw a card.,A1,P1,TCGTAKE1-CORE,81,False,False,4,prototype,0.1,
1082,GA10,Observatory of Chains,Gilded Axiom,Common,6,Domain,,,,"Once each turn, when you draw a card, your next Decree costs 1 less.",A1,P3,TCGTAKE1-CORE,82,False,False,4,prototype,0.1,
1083,GA11,Index Runner,Gilded Axiom,Uncommon,1,Relic,,,,"Once each turn, when you discard a card, scry 1.",A2,P2,TCGTAKE1-CORE,83,False,False,3,prototype,0.1,
1084,GA12,Process Engineer,Gilded Axiom,Uncommon,2,Champion,2.0,3.0,,"When you play a Decree, this gets +1 attack this turn.",GL,P2,TCGTAKE1-CORE,84,False,False,3,prototype,0.1,
1085,GA13,False Prediction,Gilded Axiom,Uncommon,3,Omen,,,,Omen — The next card your opponent plays costs 2 more.,A1,P2,TCGTAKE1-CORE,85,False,False,3,prototype,0.1,
1086,GA14,Break the Loop,Gilded Axiom,Uncommon,4,Decree,,,,Return a unit to its owner’s hand. Draw a card.,A1,P1,TCGTAKE1-CORE,86,False,False,3,prototype,0.1,
1087,GA15,Vault of Small Miracles,Gilded Axiom,Uncommon,4,Domain,,,,"Once each turn, when you draw a card outside your draw step, gain 1 life.",GL,P2,TCGTAKE1-CORE,87,False,False,3,prototype,0.1,
1088,GA16,Sequence Overclock,Gilded Axiom,Uncommon,6,Decree,,,,The next two cards you play this turn each cost 1 less.,A2,P3,TCGTAKE1-CORE,88,False,False,3,prototype,0.1,
1089,GA17,Albert Einstein,Gilded Axiom,Rare,1,Champion,1.0,3.0,,"Once each turn, when you play a Decree, draw a card then discard a card.",A2,P1,TCGTAKE1-CORE,89,False,False,2,prototype,0.1,
1090,GA18,Causal Tax,Gilded Axiom,Rare,2,Decree,,,,"Target unit gets -2 attack this turn. If it was damaged, it also gets -1 life.",A1,P1,TCGTAKE1-CORE,90,False,False,2,prototype,0.1,
1091,GA19,Grand Theorem Clerk,Gilded Axiom,Rare,3,Champion,3.0,3.0,,"When this enters play, choose a card in your hand. It costs 1 less this turn.",GL,P2,TCGTAKE1-CORE,91,False,False,2,prototype,0.1,
1092,GA20,Revoke the Answer,Gilded Axiom,Rare,4,Decree,,,,Return a champion to hand. Its controller discards a card.,A1,P1,TCGTAKE1-CORE,92,False,False,2,prototype,0.1,
1093,GA21,Paradox Mirror,Gilded Axiom,Rare,4,Omen,,,,Omen — The next Decree you play this turn triggers twice.,A2,P3,TCGTAKE1-CORE,93,False,False,2,prototype,0.1,
1094,GA22,Archive of Endings,Gilded Axiom,Rare,7,Champion,4.0,6.0,,"When this enters play, return a Decree from your discard to your hand.",GL,P3,TCGTAKE1-CORE,94,False,False,2,prototype,0.1,
1095,GA23,"Mansa Musa, Ledger King",Gilded Axiom,Renowned,2,Champion,2.0,3.0,,"When you gain life or draw a card outside your draw step, create a Coin token.",GL,P2,TCGTAKE1-CORE,95,True,False,1,prototype,0.1,
1096,GA24,Chronarch Selene,Gilded Axiom,Renowned,4,Champion,4.0,5.0,,"Once each turn, after you play your second card, draw a card.",A2,P2,TCGTAKE1-CORE,96,True,False,1,prototype,0.1,
1097,N01,Mercenary Guide,Neutral,Common,1,Champion,1.0,2.0,,"When this enters play, you may reveal a neutral card from your hand.",NX3,P1,TCGTAKE1-CORE,97,False,False,4,prototype,0.1,
1098,N02,Wandering Shrine,Neutral,Common,1,Relic,,,,"Once each turn, when you play a Champion, gain 1 life.",NX3,P2,TCGTAKE1-CORE,98,False,False,4,prototype,0.1,
1099,N03,Traveling Sellsword,Neutral,Common,2,Champion,2.0,2.0,,"When this attacks, you may pay 1 to give it +1 attack this turn.",NX1,P1,TCGTAKE1-CORE,99,False,False,4,prototype,0.1,
1100,N04,Field Rations,Neutral,Common,2,Decree,,,,Give an ally +1 life. Draw a card if it is a Champion.,NX1,P1,TCGTAKE1-CORE,100,False,False,4,prototype,0.1,
1101,N05,Portable Lantern,Neutral,Common,2,Relic,,,,"Once each turn, when you reveal a card, scry 1.",NX3,P2,TCGTAKE1-CORE,101,False,False,4,prototype,0.1,
1102,N06,Hiring Notice,Neutral,Common,3,Decree,,,,Create a 1/1 Mercenary. Draw a card if you control a faction Champion.,NX2,P1,TCGTAKE1-CORE,102,False,False,4,prototype,0.1,
1103,N07,Roadside Protector,Neutral,Common,3,Champion,3.0,3.0,Guard,"Guard. When this is played, reveal the top card of your deck.",NX3,P1,TCGTAKE1-CORE,103,False,False,4,prototype,0.1,
1104,N08,Smuggler’s Cache,Neutral,Common,3,Omen,,,,"Omen — Draw a card. If it is neutral, gain 1 life.",NX4,P2,TCGTAKE1-CORE,104,False,False,4,prototype,0.1,
1105,N09,Old Battlefield,Neutral,Common,4,Domain,,,,The first Champion you play each turn gets +1 attack.,NX1,P3,TCGTAKE1-CORE,105,False,False,4,prototype,0.1,
1106,N10,Mercy Token,Neutral,Common,6,Champion,4.0,5.0,Drain,"Drain. When this enters play, gain 1 life.",NX3,P2,TCGTAKE1-CORE,106,False,False,4,prototype,0.1,
1107,N11,Wanderer’s Counsel,Neutral,Uncommon,1,Decree,,,,"Draw a card, then reveal a card in your hand.",NX1,P1,TCGTAKE1-CORE,107,False,False,3,prototype,0.1,
1108,N12,Auctioneer’s Friend,Neutral,Uncommon,2,Champion,2.0,3.0,,"When you draw a card outside your draw step, this gets +1 attack this turn.",NX2,P2,TCGTAKE1-CORE,108,False,False,3,prototype,0.1,
1109,N13,Portable Forge,Neutral,Uncommon,3,Relic,,,,"Once each turn, the first card you discard costs 1 less to play this turn if returned somehow.",NX3,P3,TCGTAKE1-CORE,109,False,False,3,prototype,0.1,
1110,N14,Crossroads Decision,Neutral,Uncommon,4,Omen,,,,Omen — Choose one: draw a card or deal 2 damage to a unit.,NX4,P2,TCGTAKE1-CORE,110,False,False,3,prototype,0.1,
1111,N15,Seasoned Caravan,Neutral,Uncommon,4,Champion,3.0,4.0,Guard,"Guard. When this enters play, draw a card.",NX3,P1,TCGTAKE1-CORE,111,False,False,3,prototype,0.1,
1112,N16,Borderless Treaty,Neutral,Uncommon,6,Domain,,,,"Once each turn, when you play a neutral card, gain 1 life.",NX2,P3,TCGTAKE1-CORE,112,False,False,3,prototype,0.1,
1113,N17,Roving Duelist,Neutral,Rare,1,Champion,2.0,1.0,,"When this attacks alone, it gets +2 attack this turn.",NX1,P1,TCGTAKE1-CORE,113,False,False,2,prototype,0.1,
1114,N18,Far-Way Merchant,Neutral,Rare,2,Relic,,,,"Once each turn, when you gain life, draw a card if you haven’t drawn this turn.",NX3,P2,TCGTAKE1-CORE,114,False,False,2,prototype,0.1,
1115,N19,Loaned Muscle,Neutral,Rare,3,Champion,3.0,3.0,,"When this dies, create a 1/1 Mercenary.",NX2,P1,TCGTAKE1-CORE,115,False,False,2,prototype,0.1,
1116,N20,Open Road Gambit,Neutral,Rare,4,Decree,,,,Ready a Champion. It gets +1/+1 this turn.,NX1,P1,TCGTAKE1-CORE,116,False,False,2,prototype,0.1,
1117,N21,Wayfarer’s Omen,Neutral,Rare,4,Omen,,,,Omen — The next card you play costs 1 less.,NX4,P3,TCGTAKE1-CORE,117,False,False,2,prototype,0.1,
1118,N22,Hearth of Many Paths,Neutral,Rare,7,Domain,,,,"Once each turn, after you play a neutral card, draw a card.",NX3,P3,TCGTAKE1-CORE,118,False,False,2,prototype,0.1,
1119,N23,Contracted Blade,Neutral,Renowned,2,Champion,3.0,2.0,,"When this enters play, choose a faction. It gets +1 attack while you control a card of that faction.",NX1,P2,TCGTAKE1-CORE,119,True,False,1,prototype,0.1,
1120,N24,Archivist of the Road,Neutral,Renowned,4,Champion,2.0,5.0,,"Once each turn, when you reveal or draw a card, gain 1 life.",NX3,P2,TCGTAKE1-CORE,120,True,False,1,prototype,0.1,
